"MarkettypeID","TradingMonth","Portfolios","RiskPremium1","RiskPremium2","SMB1","SMB2","HML1","HML2","RMW1","RMW2","CMA1","CMA2"
"P9713","1994-03","2","-0.126550","-0.114550","0.145940","0.134101","-0.054475","-0.012147","-0.013223","-0.000770","0.077814","0.085642"
"P9714","1994-03","1","-0.112550","-0.104550","0.142331","0.134828","-0.007590","0.048010","-0.020578","-0.010892","0.109919","0.111636"
"P9714","1994-03","2","-0.112550","-0.104550","0.132403","0.117725","-0.029032","0.031581","-0.028609","-0.038163","0.116797","0.120636"
"P9709","1994-04","2","-0.165550","-0.160550","0.017858","0.003380","-0.015218","-0.007522","0.012600","0.001277","0.115732","0.120517"
"P9709","1994-04","1","-0.165550","-0.160550","0.038012","0.021989","-0.044640","-0.055022","0.100809","0.082621","0.060269","0.062042"
"P9713","1994-04","1","-0.124550","-0.126550","-0.061917","-0.057709","-0.037853","-0.045611","0.180589","0.117665","0.314037","0.299864"
"P9713","1994-04","2","-0.124550","-0.126550","-0.067449","-0.064581","-0.011912","-0.004042","0.091477","0.040640","0.261242","0.250114"
"P9714","1994-04","2","-0.165550","-0.160550","0.017872","0.003367","-0.015218","-0.007522","0.012559","0.001316","0.115732","0.120517"
"P9714","1994-04","1","-0.165550","-0.160550","0.037085","0.022628","-0.044640","-0.055022","0.090100","0.073279","0.060269","0.062042"
"P9709","1994-05","2","-0.072550","-0.067550","-0.026843","-0.018833","-0.034703","-0.027037","0.012821","0.044298","-0.049508","-0.055419"
"P9709","1994-05","1","-0.072550","-0.067550","-0.006901","-0.004013","-0.057334","-0.037799","0.020932","0.038524","-0.094238","-0.099231"
"P9713","1994-05","2","-0.024550","-0.017550","-0.079453","-0.080116","0.066501","0.049174","-0.017972","-0.004019","-0.014279","-0.018935"
"P9713","1994-05","1","-0.024550","-0.017550","-0.051743","-0.065834","0.047126","0.064154","0.026799","0.023173","-0.038050","-0.039685"
"P9714","1994-05","2","-0.072550","-0.067550","-0.026761","-0.018779","-0.034703","-0.027037","0.012575","0.044137","-0.049508","-0.055419"
"P9714","1994-05","1","-0.072550","-0.067550","-0.006646","-0.007145","-0.057334","-0.037799","0.024934","0.037750","-0.094238","-0.099231"
"P9709","1994-06","2","-0.175550","-0.172550","-0.016297","-0.013633","-0.028107","-0.037593","0.008686","0.021741","0.030627","0.029709"
"P9709","1994-06","1","-0.175550","-0.172550","0.003844","0.004589","-0.055698","-0.072677","0.067582","0.069212","0.014373","0.010670"
"P9713","1994-06","2","-0.151550","-0.146550","0.004122","-0.004676","0.018430","0.001887","-0.010438","-0.001108","0.028285","0.026204"
"P9713","1994-06","1","-0.151550","-0.146550","0.023546","0.014928","-0.033896","-0.042346","0.026732","0.020137","0.019944","0.015681"
"P9714","1994-06","2","-0.175550","-0.172550","-0.016140","-0.013503","-0.028107","-0.037593","0.008215","0.021351","0.030627","0.029709"
"P9714","1994-06","1","-0.175550","-0.172550","0.005151","0.003633","-0.055698","-0.072677","0.078796","0.084098","0.014373","0.010670"
"P9709","1994-07","2","-0.263550","-0.280550","-0.061168","-0.047343","0.010259","0.003486","-0.001320","-0.016079","-0.018465","-0.049978"
"P9709","1994-07","1","-0.263550","-0.280550","-0.056725","-0.045153","0.014913","0.016578","0.028678","0.017274","-0.049698","-0.086527"
"P9713","1994-07","1","-0.204550","-0.217550","-0.083024","-0.076346","0.077152","0.066820","0.016656","0.004148","-0.013669","-0.038002"
"P9713","1994-07","2","-0.204550","-0.217550","-0.085743","-0.074941","0.058680","0.048408","-0.008665","-0.027915","0.023163","-0.003385"
"P9714","1994-07","2","-0.263550","-0.280550","-0.061204","-0.047396","0.010259","0.003486","-0.001212","-0.015922","-0.018465","-0.049978"
"P9714","1994-07","1","-0.263550","-0.280550","-0.056726","-0.045210","0.014913","0.016578","0.030040","0.018492","-0.049698","-0.086527"
"P9709","1994-08","2","1.120450","1.165450","0.217668","0.167829","-0.050376","0.032977","-0.045559","0.032904","0.271011","0.396663"
"P9709","1994-08","1","1.120450","1.165450","0.198738","0.160470","-0.074970","-0.025569","-0.257922","-0.175730","0.627496","0.745725"
"P9713","1994-08","1","0.875450","0.934450","0.288422","0.258381","-0.296060","-0.208277","-0.177812","-0.113723","0.421806","0.469813"
"P9713","1994-08","2","0.875450","0.934450","0.291943","0.246662","-0.246634","-0.156580","-0.001643","0.082621","0.075872","0.172541"
"P9714","1994-08","1","1.120450","1.165450","0.198535","0.160197","-0.074970","-0.025569","-0.264164","-0.179923","0.627496","0.745725"
"P9714","1994-08","2","1.120450","1.165450","0.217236","0.167262","-0.050376","0.032977","-0.044265","0.034606","0.271011","0.396663"
"P9709","1994-09","2","0.032450","0.047450","0.085034","0.067030","0.066384","0.035595","-0.019812","-0.002218","0.126457","0.124842"
"P9709","1994-09","1","0.032450","0.047450","0.080530","0.059181","0.092957","0.048219","-0.017749","-0.014018","0.197839","0.216781"
"P9713","1994-09","2","0.031450","0.044450","0.088005","0.072397","0.044766","0.022758","-0.008382","0.007736","0.100221","0.101199"
"P9713","1994-09","1","0.031450","0.044450","0.086563","0.068358","0.060459","0.030838","-0.009460","-0.013128","0.161088","0.164454"
"P9714","1994-09","1","0.032450","0.047450","0.080041","0.058406","0.092957","0.048219","-0.016641","-0.011723","0.197839","0.216781"
"P9714","1994-09","2","0.032450","0.047450","0.084599","0.066370","0.066384","0.035595","-0.018507","-0.000239","0.126457","0.124842"
"P9709","1994-10","2","-0.197550","-0.195550","0.036896","0.037341","-0.000747","0.003082","0.003169","-0.004689","0.021469","0.019675"
"P9709","1994-10","1","-0.197550","-0.195550","0.038315","0.037352","0.003986","0.011896","0.006063","-0.001659","0.011290","0.015384"
"P9713","1994-10","1","-0.166550","-0.163550","0.003209","0.004362","0.024358","0.027725","0.017458","0.011138","0.019369","0.020886"
"P9713","1994-10","2","-0.166550","-0.163550","0.002560","0.007572","0.019212","0.020545","0.010876","-0.000555","0.028722","0.025092"
"P9714","1994-10","1","-0.197550","-0.195550","0.038397","0.037439","0.003986","0.011896","0.006181","-0.001549","0.011290","0.015384"
"P9714","1994-10","2","-0.197550","-0.195550","0.036903","0.037362","-0.000747","0.003082","0.003147","-0.004749","0.021469","0.019675"
"P9709","1994-11","2","0.025450","0.033450","-0.016365","-0.003624","0.004917","0.012241","-0.032816","-0.016128","-0.024445","-0.008326"
"P9709","1994-11","1","0.025450","0.033450","-0.015065","-0.003799","0.007149","0.010380","-0.030104","-0.019594","-0.001331","0.013564"
"P9713","1994-11","1","-0.007550","-0.004550","0.001911","0.009657","-0.034405","-0.024065","-0.021808","-0.010979","-0.016030","0.001270"
"P9713","1994-11","2","-0.007550","-0.004550","0.000464","0.007700","-0.029797","-0.019240","-0.025361","-0.006157","-0.043708","-0.022787"
"P9714","1994-11","2","0.025450","0.033450","-0.016520","-0.003822","0.004917","0.012241","-0.032352","-0.015533","-0.024445","-0.008326"
"P9714","1994-11","1","0.025450","0.033450","-0.015270","-0.004052","0.007149","0.010380","-0.029747","-0.019011","-0.001331","0.013564"
"P9709","1994-12","2","-0.059550","-0.059550","0.022320","0.022372","-0.010562","-0.018501","-0.014858","-0.018596","-0.013853","-0.019808"
"P9709","1994-12","1","-0.059550","-0.059550","0.021518","0.023348","-0.007345","-0.009846","-0.003614","-0.006294","-0.019452","-0.026242"
"P9713","1994-12","2","-0.064550","-0.060550","0.063971","0.072506","0.009388","0.002703","-0.033862","-0.043408","-0.085340","-0.120870"
"P9713","1994-12","1","-0.064550","-0.060550","0.065145","0.070577","0.023857","0.021053","-0.017407","-0.023969","-0.122233","-0.150552"
"P9714","1994-12","2","-0.059550","-0.059550","0.022269","0.022307","-0.010562","-0.018501","-0.014704","-0.018399","-0.013853","-0.019808"
"P9714","1994-12","1","-0.059550","-0.059550","0.021393","0.023200","-0.007345","-0.009846","-0.003020","-0.005614","-0.019452","-0.026242"
"P9709","1995-01","2","-0.122550","-0.130550","-0.014968","-0.012777","-0.019639","-0.017005","0.020800","0.013261","0.002065","-0.010890"
"P9709","1995-01","1","-0.122550","-0.130550","-0.013236","-0.012273","-0.022423","-0.014865","0.017714","0.013989","-0.019881","-0.037883"
"P9713","1995-01","2","-0.123550","-0.132550","-0.011426","-0.016285","-0.027137","-0.024923","0.026415","0.018819","0.035714","0.037788"
"P9713","1995-01","1","-0.123550","-0.132550","-0.010936","-0.014751","-0.036450","-0.026894","0.023733","0.017038","0.028331","0.021233"
"P9714","1995-01","2","-0.122550","-0.130550","-0.014924","-0.012719","-0.019639","-0.017005","0.020668","0.013085","0.002065","-0.010890"
"P9714","1995-01","1","-0.122550","-0.130550","-0.013209","-0.012222","-0.022423","-0.014865","0.017294","0.013639","-0.019881","-0.037883"
"P9709","1995-02","2","-0.021550","-0.022550","-0.005686","-0.010737","-0.000640","-0.004442","0.007548","-0.001070","0.011293","-0.000282"
"P9709","1995-02","1","-0.021550","-0.022550","-0.005200","-0.010987","0.005290","0.003677","0.008845","-0.003929","0.009177","0.000540"
"P9713","1995-02","1","-0.015550","-0.011550","-0.023083","-0.029271","0.014391","0.009929","0.004939","-0.002656","0.021008","0.020828"
"P9713","1995-02","2","-0.015550","-0.011550","-0.021806","-0.026858","0.001358","-0.001370","0.007938","0.004697","0.018556","0.011326"
"P9714","1995-02","2","-0.021550","-0.022550","-0.005571","-0.010577","-0.000640","-0.004442","0.007202","-0.001551","0.011293","-0.000282"
"P9714","1995-02","1","-0.021550","-0.022550","-0.005029","-0.010733","0.005290","0.003677","0.008283","-0.004750","0.009177","0.000540"
"P9709","1995-03","2","0.127450","0.145450","0.040874","0.043422","0.037733","0.045382","-0.016816","0.003561","-0.035383","-0.043636"
"P9709","1995-03","1","0.127450","0.145450","0.046177","0.043465","0.022299","0.018636","-0.013154","-0.010260","-0.053747","-0.062434"
"P9713","1995-03","1","0.102450","0.113450","0.070275","0.064707","0.002566","0.003135","-0.020058","-0.021788","-0.004427","-0.007746"
"P9713","1995-03","2","0.102450","0.113450","0.067156","0.063826","0.017354","0.024802","-0.020052","-0.002303","-0.012974","-0.016195"
"P9714","1995-03","2","0.127450","0.145450","0.040548","0.042979","0.037733","0.045382","-0.015839","0.004890","-0.035383","-0.043636"
"P9714","1995-03","1","0.127450","0.145450","0.045574","0.042699","0.022299","0.018636","-0.012684","-0.008464","-0.053747","-0.062434"
"P9709","1995-04","2","-0.099550","-0.101550","-0.002650","-0.000396","-0.001586","-0.007183","-0.003946","-0.007750","-0.005533","-0.013475"
"P9709","1995-04","1","-0.099550","-0.101550","-0.001719","0.000752","0.013185","0.012102","-0.005295","-0.008459","-0.015194","-0.026063"
"P9713","1995-04","2","-0.101550","-0.103550","0.000345","0.000480","0.001385","-0.003725","-0.007454","-0.013102","-0.011331","-0.021701"
"P9713","1995-04","1","-0.101550","-0.103550","0.001572","0.001874","0.015113","0.016896","-0.002821","-0.007073","-0.026765","-0.039318"
"P9714","1995-04","1","-0.099550","-0.101550","-0.002171","0.000146","0.013185","0.012102","-0.003598","-0.005984","-0.015194","-0.026063"
"P9714","1995-04","2","-0.099550","-0.101550","-0.002988","-0.000880","-0.001586","-0.007183","-0.002930","-0.006299","-0.005533","-0.013475"
"P9709","1995-05","2","0.165450","0.178450","0.073057","0.067160","0.012538","0.019240","-0.004521","0.005281","-0.000245","0.000584"
"P9709","1995-05","1","0.165450","0.178450","0.074048","0.067406","0.006666","0.004552","-0.032442","-0.026966","0.013097","0.012180"
"P9713","1995-05","2","0.148450","0.158450","0.053581","0.047548","-0.007933","0.001038","0.001827","0.016552","-0.025453","-0.016657"
"P9713","1995-05","1","0.148450","0.158450","0.053437","0.047238","-0.007499","-0.003986","-0.026289","-0.016717","0.028336","0.032373"
"P9714","1995-05","2","0.165450","0.178450","0.073108","0.067240","0.012538","0.019240","-0.004674","0.005043","-0.000245","0.000584"
"P9714","1995-05","1","0.165450","0.178450","0.074162","0.067586","0.006666","0.004552","-0.034443","-0.028882","0.013097","0.012180"
"P9709","1995-06","2","-0.086550","-0.094550","0.003912","-0.002342","-0.037327","-0.042498","0.020724","0.006911","-0.012680","-0.019846"
"P9709","1995-06","1","-0.086550","-0.094550","0.001917","-0.002088","-0.020739","-0.019186","0.023621","0.013531","-0.012102","-0.012541"
"P9713","1995-06","2","-0.073550","-0.077550","-0.012462","-0.015893","-0.026402","-0.029886","0.019547","0.004254","0.012314","0.011174"
"P9713","1995-06","1","-0.073550","-0.077550","-0.015025","-0.017598","-0.009921","-0.009446","0.022573","0.012387","0.014043","0.019100"
"P9714","1995-06","2","-0.086550","-0.094550","0.003956","-0.002292","-0.037327","-0.042498","0.020592","0.006760","-0.012680","-0.019846"
"P9714","1995-06","1","-0.086550","-0.094550","0.001891","-0.002065","-0.020739","-0.019186","0.023162","0.013204","-0.012102","-0.012541"
"P9709","1995-07","3","0.092450","0.087450","0.012709","0.002693","0.054582","0.053980","0.074220","0.055171","-0.016318","-0.003474"
"P9709","1995-07","2","0.092450","0.087450","0.001273","0.001010","0.048013","0.048622","0.061289","0.046271","0.006944","0.019045"
"P9709","1995-07","1","0.092450","0.087450","0.001223","-0.000754","0.045996","0.052611","0.062661","0.050654","0.018357","0.019409"
"P9713","1995-07","1","0.087450","0.083450","-0.006531","-0.011079","0.038140","0.046158","0.059010","0.054160","0.013946","0.019716"
"P9713","1995-07","3","0.087450","0.083450","0.004878","-0.006500","0.043473","0.041712","0.081857","0.066968","-0.015454","-0.001477"
"P9713","1995-07","2","0.087450","0.083450","-0.004058","-0.006421","0.039616","0.042387","0.062388","0.055327","0.000222","0.012193"
"P9714","1995-07","2","0.092450","0.087450","0.001750","0.001876","0.048013","0.048622","0.063811","0.053343","0.006867","0.019030"
"P9714","1995-07","3","0.092450","0.087450","0.015285","0.005258","0.051361","0.050810","0.079279","0.065420","-0.013560","0.000508"
"P9714","1995-07","1","0.092450","0.087450","0.001296","-0.000657","0.045996","0.052611","0.062331","0.050492","0.019261","0.019905"
"P9709","1995-08","3","0.049450","0.042450","-0.033906","-0.036642","0.047075","0.036778","-0.002256","-0.004594","0.009491","0.027846"
"P9709","1995-08","2","0.049450","0.042450","-0.040465","-0.042555","0.060396","0.058987","0.011617","0.010184","0.026688","0.051948"
"P9709","1995-08","1","0.049450","0.042450","-0.045400","-0.048601","0.078007","0.087330","0.012623","-0.008076","0.034096","0.039803"
"P9713","1995-08","2","0.048450","0.039450","-0.033928","-0.032391","0.052611","0.050041","-0.000841","-0.014690","0.023904","0.052358"
"P9713","1995-08","1","0.048450","0.039450","-0.038334","-0.035625","0.075551","0.082325","0.003177","-0.020169","0.036100","0.046006"
"P9713","1995-08","3","0.048450","0.039450","-0.030276","-0.039688","0.043234","0.040805","-0.022497","-0.037727","0.004335","0.017537"
"P9714","1995-08","1","0.049450","0.042450","-0.045059","-0.048260","0.078007","0.087330","0.012724","-0.007633","0.034841","0.040152"
"P9714","1995-08","2","0.049450","0.042450","-0.040340","-0.043128","0.060396","0.058987","0.006434","-0.005004","0.025258","0.051067"
"P9714","1995-08","3","0.049450","0.042450","-0.036440","-0.045592","0.051822","0.048701","-0.016584","-0.031077","0.002303","0.013906"
"P9709","1995-09","3","-0.004550","-0.007550","-0.004492","-0.008442","0.030304","0.026145","0.024582","0.015787","0.023749","0.032443"
"P9709","1995-09","2","-0.004550","-0.007550","-0.013411","-0.006165","0.044592","0.045780","0.017682","0.014276","0.033937","0.040675"
"P9709","1995-09","1","-0.004550","-0.007550","-0.014641","-0.007920","0.061211","0.065387","0.030956","0.022323","0.039987","0.030531"
"P9713","1995-09","2","-0.012550","-0.016550","-0.005081","0.000756","0.034417","0.034149","0.013351","0.011351","0.019677","0.026367"
"P9713","1995-09","3","-0.012550","-0.016550","0.004175","-0.001930","0.020151","0.016944","0.026539","0.020107","0.017681","0.023809"
"P9713","1995-09","1","-0.012550","-0.016550","-0.006870","-0.000574","0.048709","0.051928","0.031734","0.026205","0.025309","0.016350"
"P9714","1995-09","1","-0.004550","-0.007550","-0.014086","-0.007215","0.061211","0.065387","0.030881","0.022608","0.036763","0.027706"
"P9714","1995-09","2","-0.004550","-0.007550","-0.012955","-0.005506","0.044592","0.045780","0.017244","0.013379","0.032482","0.039742"
"P9714","1995-09","3","-0.004550","-0.007550","-0.003241","-0.009337","0.030318","0.028886","0.023555","0.014756","0.022006","0.028350"
"P9709","1995-10","3","0.000450","-0.001550","0.028308","0.028214","0.026536","0.020978","0.017478","0.015929","-0.007508","-0.001848"
"P9709","1995-10","2","0.000450","-0.001550","0.018671","0.022293","0.041532","0.034767","0.018229","0.018062","0.004453","0.005777"
"P9709","1995-10","1","0.000450","-0.001550","0.019196","0.021710","0.044705","0.042805","0.015270","0.011250","0.015342","0.020451"
"P9713","1995-10","3","-0.005550","-0.008550","0.034060","0.030823","0.017289","0.014892","-0.006836","-0.014600","0.004132","0.007681"
"P9713","1995-10","1","-0.005550","-0.008550","0.028761","0.030095","0.044576","0.038861","-0.009879","-0.016667","0.033983","0.039331"
"P9713","1995-10","2","-0.005550","-0.008550","0.030283","0.033238","0.036259","0.028250","-0.005598","-0.013900","0.011499","0.012752"
"P9714","1995-10","3","0.000450","-0.001550","0.027901","0.026566","0.024969","0.020245","0.013968","0.009249","-0.005250","0.000015"
"P9714","1995-10","2","0.000450","-0.001550","0.018571","0.022146","0.041532","0.034767","0.016471","0.013077","0.005815","0.006551"
"P9714","1995-10","1","0.000450","-0.001550","0.019119","0.021592","0.044705","0.042805","0.015089","0.010927","0.016885","0.021572"
"P9709","1995-11","3","-0.111550","-0.104550","0.003047","0.008074","-0.027641","-0.018919","-0.029969","-0.021424","0.006328","-0.003637"
"P9709","1995-11","2","-0.111550","-0.104550","0.010403","0.010885","-0.028652","-0.026259","-0.034792","-0.028687","-0.004187","-0.008183"
"P9709","1995-11","1","-0.111550","-0.104550","0.010966","0.013023","-0.042270","-0.041735","-0.038090","-0.024007","-0.020568","-0.012947"
"P9713","1995-11","3","-0.109550","-0.102550","0.005678","0.010245","-0.027665","-0.024108","-0.015823","-0.010549","0.009861","0.003708"
"P9713","1995-11","1","-0.109550","-0.102550","0.014348","0.015560","-0.036431","-0.035313","-0.021023","-0.009494","-0.015132","-0.005363"
"P9713","1995-11","2","-0.109550","-0.102550","0.012590","0.012838","-0.024973","-0.021489","-0.019311","-0.013380","0.002106","0.001334"
"P9714","1995-11","2","-0.111550","-0.104550","0.010253","0.010584","-0.028652","-0.026259","-0.034113","-0.026593","-0.003812","-0.007940"
"P9714","1995-11","1","-0.111550","-0.104550","0.010633","0.012608","-0.042270","-0.041735","-0.038356","-0.024288","-0.016776","-0.009679"
"P9714","1995-11","3","-0.111550","-0.104550","0.002569","0.010032","-0.026862","-0.020720","-0.027960","-0.018749","0.006558","-0.000799"
"P9709","1995-12","3","-0.128550","-0.129550","-0.007326","-0.003905","0.002763","0.003495","-0.027209","-0.024473","0.001994","0.003898"
"P9709","1995-12","2","-0.128550","-0.129550","-0.006475","-0.002935","0.005198","0.007378","-0.032418","-0.026040","0.001824","0.004647"
"P9709","1995-12","1","-0.128550","-0.129550","-0.007713","-0.003167","0.001062","0.003054","-0.033691","-0.023451","-0.002606","-0.001341"
"P9713","1995-12","3","-0.115550","-0.114550","-0.008471","-0.004966","0.015459","0.017710","-0.022252","-0.018370","0.002700","0.001489"
"P9713","1995-12","2","-0.115550","-0.114550","-0.010018","-0.007013","0.016768","0.022855","-0.028738","-0.021932","0.012942","0.012977"
"P9713","1995-12","1","-0.115550","-0.114550","-0.010581","-0.006095","0.013338","0.017788","-0.038019","-0.030094","0.002091","-0.001345"
"P9714","1995-12","2","-0.128550","-0.129550","-0.006423","-0.002939","0.005198","0.007378","-0.032603","-0.026672","0.002188","0.004807"
"P9714","1995-12","1","-0.128550","-0.129550","-0.007519","-0.002944","0.001062","0.003054","-0.033193","-0.022751","-0.002200","-0.001041"
"P9714","1995-12","3","-0.128550","-0.129550","-0.007507","-0.003524","0.002812","0.002960","-0.027654","-0.025201","0.000586","0.001961"
"P9709","1996-01","3","-0.035550","-0.040550","0.010320","0.005632","0.030734","0.023107","0.013193","-0.003091","0.000075","0.012115"
"P9709","1996-01","2","-0.035550","-0.040550","-0.000658","-0.003099","0.033433","0.031855","0.012371","-0.002640","0.011344","0.015358"
"P9709","1996-01","1","-0.035550","-0.040550","-0.002079","-0.005236","0.049365","0.049638","0.017280","-0.005277","0.024885","0.022406"
"P9713","1996-01","2","-0.020550","-0.020550","-0.017378","-0.023207","0.030421","0.028249","0.020688","0.009614","0.007610","0.004272"
"P9713","1996-01","1","-0.020550","-0.020550","-0.018045","-0.024361","0.042947","0.042808","0.018452","0.000687","0.011075","0.008125"
"P9713","1996-01","3","-0.020550","-0.020550","-0.001329","-0.007692","0.031012","0.026974","0.020612","0.009274","-0.006144","0.003014"
"P9714","1996-01","2","-0.035550","-0.040550","-0.000495","-0.003028","0.033433","0.031855","0.013008","-0.001443","0.011033","0.015148"
"P9714","1996-01","1","-0.035550","-0.040550","-0.001694","-0.004765","0.049365","0.049638","0.017718","-0.004895","0.020928","0.019008"
"P9714","1996-01","3","-0.035550","-0.040550","0.011200","0.004897","0.029819","0.023954","0.014567","0.000744","-0.000777","0.009304"
"P9709","1996-02","3","0.025450","0.023450","-0.023140","-0.020238","-0.016619","-0.015392","0.000264","0.005222","0.001522","-0.005730"
"P9709","1996-02","2","0.025450","0.023450","-0.019574","-0.013843","-0.023113","-0.022518","0.006206","0.007606","-0.010911","-0.013503"
"P9709","1996-02","1","0.025450","0.023450","-0.018785","-0.012778","-0.028510","-0.027148","0.015949","0.020988","-0.018499","-0.014719"
"P9713","1996-02","1","0.024450","0.020450","-0.014290","-0.002238","-0.022092","-0.019671","0.004968","0.013576","-0.010142","-0.005956"
"P9713","1996-02","2","0.024450","0.020450","-0.013614","-0.002956","-0.023699","-0.022963","0.000523","0.003259","-0.013040","-0.010761"
"P9713","1996-02","3","0.024450","0.020450","-0.016508","-0.009972","-0.019292","-0.016930","-0.006503","-0.003089","-0.000312","-0.004872"
"P9714","1996-02","2","0.025450","0.023450","-0.019649","-0.013849","-0.023113","-0.022518","0.005868","0.007847","-0.010991","-0.013574"
"P9714","1996-02","3","0.025450","0.023450","-0.024032","-0.021740","-0.015423","-0.013560","-0.000254","0.003170","0.002178","-0.004557"
"P9714","1996-02","1","0.025450","0.023450","-0.019030","-0.013070","-0.028510","-0.027148","0.015033","0.019885","-0.017567","-0.013908"
"P9709","1996-03","3","0.003450","0.001450","0.004175","0.003316","0.014863","0.012742","0.028835","0.026652","-0.003556","-0.002352"
"P9709","1996-03","2","0.003450","0.001450","-0.000873","0.001025","0.007854","0.005243","0.019785","0.016588","-0.002653","-0.000994"
"P9709","1996-03","1","0.003450","0.001450","0.000173","0.001069","0.005527","0.002410","0.022976","0.016752","0.001232","0.004614"
"P9713","1996-03","3","-0.006550","-0.008550","0.010886","0.009206","0.012533","0.007085","0.023081","0.017735","0.008140","0.011431"
"P9713","1996-03","2","-0.006550","-0.008550","0.008758","0.009406","0.008790","0.005074","0.012352","0.004822","0.008052","0.010663"
"P9713","1996-03","1","-0.006550","-0.008550","0.009301","0.009187","0.009826","0.010689","0.023559","0.013581","0.011738","0.020499"
"P9714","1996-03","3","0.003450","0.001450","0.004939","0.004706","0.014057","0.011319","0.028435","0.026608","-0.003144","-0.001619"
"P9714","1996-03","2","0.003450","0.001450","-0.000693","0.001309","0.007854","0.005243","0.019641","0.016158","-0.002591","-0.000972"
"P9714","1996-03","1","0.003450","0.001450","0.000281","0.001179","0.005527","0.002410","0.022856","0.016645","0.001027","0.004407"
"P9709","1996-04","3","0.288450","0.273450","0.064515","0.070584","-0.009812","-0.025803","-0.132896","-0.111990","0.019793","0.016656"
"P9709","1996-04","2","0.288450","0.273450","0.061799","0.081281","-0.006205","0.018218","-0.173217","-0.174796","-0.018615","-0.010749"
"P9709","1996-04","1","0.288450","0.273450","0.056693","0.072034","0.010932","0.041303","-0.153977","-0.135859","-0.033401","0.001000"
"P9713","1996-04","1","0.246450","0.231450","0.089702","0.094941","0.001525","0.023811","-0.130607","-0.125502","-0.023435","0.007409"
"P9713","1996-04","2","0.246450","0.231450","0.093693","0.102349","-0.010121","0.004554","-0.167585","-0.180631","-0.010520","0.002247"
"P9713","1996-04","3","0.246450","0.231450","0.086506","0.079811","-0.017907","-0.030709","-0.119204","-0.110673","0.013613","0.006919"
"P9714","1996-04","1","0.288450","0.273450","0.057016","0.072287","0.010932","0.041303","-0.156795","-0.139193","-0.039077","-0.003834"
"P9714","1996-04","3","0.288450","0.273450","0.060698","0.062684","-0.006180","-0.018307","-0.145069","-0.134441","0.018258","0.011923"
"P9714","1996-04","2","0.288450","0.273450","0.060558","0.078882","-0.006205","0.018218","-0.182283","-0.192679","-0.017282","-0.010119"
"P9709","1996-05","3","-0.010050","-0.032050","-0.100892","-0.091765","0.009770","0.001614","-0.045174","-0.043465","0.043372","0.033768"
"P9709","1996-05","2","-0.010050","-0.032050","-0.115677","-0.094719","0.004230","0.003894","-0.026910","-0.022385","0.025215","0.028640"
"P9709","1996-05","1","-0.010050","-0.032050","-0.114631","-0.094551","0.011178","0.010410","-0.002596","-0.010897","0.001456","0.008003"
"P9713","1996-05","2","-0.009050","-0.029050","-0.107300","-0.088519","0.010326","0.008404","-0.043550","-0.039380","0.025493","0.024382"
"P9713","1996-05","3","-0.009050","-0.029050","-0.105859","-0.101024","0.019527","0.016333","-0.054938","-0.055281","0.028369","0.015249"
"P9713","1996-05","1","-0.009050","-0.029050","-0.107406","-0.087738","0.015937","0.013278","-0.016367","-0.021779","0.008896","0.008543"
