stock_code,sw_l1_industry_name,sw_l1_industry_name_eng
002035,家用电器,Household Appliances
002036,电子,Electronics
002037,化工,Chemicals
002038,医药生物,Health Care
002039,公用事业,Utilities
002040,交通运输,Transportation
002041,农林牧渔,Agriculture
002042,纺织服装,Textile and Apparel
002043,建筑材料,Construction Materials
002044,医药生物,Health Care
002045,电子,Electronics
002046,机械设备,Machinery Equipment
002047,建筑装饰,Construction Decoration
002048,汽车,Automobile
002049,电子,Electronics
002050,家用电器,Household Appliances
002051,建筑装饰,Construction Decoration
002052,家用电器,Household Appliances
002053,化工,Chemicals
002054,化工,Chemicals
002055,电子,Electronics
002056,有色金属,Nonferrous Metal
002057,有色金属,Nonferrous Metal
002058,电气设备,Electrical Equipment
002059,休闲服务,Leisure Services
002060,建筑装饰,Construction Decoration
002061,建筑装饰,Construction Decoration
002062,建筑装饰,Construction Decoration
002063,计算机,Computer
002064,化工,Chemicals
002065,计算机,Computer
002066,建筑材料,Construction Materials
002067,轻工制造,Light-industry Manufacturing
002068,化工,Chemicals
002069,农林牧渔,Agriculture
002071,传媒,Media
002072,计算机,Computer
002073,机械设备,Machinery Equipment
002074,电气设备,Electrical Equipment
002075,钢铁,Steel
002076,电子,Electronics
002077,电子,Electronics
002078,轻工制造,Light-industry Manufacturing
002079,电子,Electronics
002080,化工,Chemicals
002081,建筑装饰,Construction Decoration
002082,建筑材料,Construction Materials
002083,纺织服装,Textile and Apparel
002084,轻工制造,Light-industry Manufacturing
002085,汽车,Automobile
002086,农林牧渔,Agriculture
002087,纺织服装,Textile and Apparel
002088,建筑材料,Construction Materials
002089,通信,Telecommunication
002090,电气设备,Electrical Equipment
002091,商业贸易,Commerce
002092,化工,Chemicals
002093,通信,Telecommunication
002094,化工,Chemicals
002095,传媒,Media
002096,化工,Chemicals
002097,机械设备,Machinery Equipment
002098,纺织服装,Textile and Apparel
002099,医药生物,Health Care
002100,农林牧渔,Agriculture
002101,汽车,Automobile
002102,医药生物,Health Care
002103,传媒,Media
002104,通信,Telecommunication
002105,汽车,Automobile
002106,电子,Electronics
002107,医药生物,Health Care
002108,化工,Chemicals
002109,化工,Chemicals
002110,钢铁,Steel
002111,机械设备,Machinery Equipment
002112,电气设备,Electrical Equipment
002113,传媒,Media
002114,有色金属,Nonferrous Metal
002115,通信,Telecommunication
002116,建筑装饰,Construction Decoration
002117,轻工制造,Light-industry Manufacturing
002118,医药生物,Health Care
002119,电子,Electronics
002120,交通运输,Transportation
002121,电气设备,Electrical Equipment
002122,机械设备,Machinery Equipment
002123,传媒,Media
002124,农林牧渔,Agriculture
002125,化工,Chemicals
002126,汽车,Automobile
002127,商业贸易,Commerce
002128,采掘,Mining
002129,电气设备,Electrical Equipment
002130,有色金属,Nonferrous Metal
002131,传媒,Media
002132,机械设备,Machinery Equipment
002133,房地产,Real Estate
002134,电子,Electronics
002135,建筑装饰,Construction Decoration
002136,化工,Chemicals
002137,传媒,Media
002138,电子,Electronics
002139,电子,Electronics
002140,建筑装饰,Construction Decoration
002141,电子,Electronics
002142,银行,Banking
002144,纺织服装,Textile and Apparel
002145,化工,Chemicals
002146,房地产,Real Estate
002147,房地产,Real Estate
002148,传媒,Media
002149,有色金属,Nonferrous Metal
002150,机械设备,Machinery Equipment
002151,国防军工,Military
002152,计算机,Computer
002153,计算机,Computer
002154,纺织服装,Textile and Apparel
002155,有色金属,Nonferrous Metal
002156,电子,Electronics
002157,农林牧渔,Agriculture
002158,机械设备,Machinery Equipment
002159,休闲服务,Leisure Services
002160,有色金属,Nonferrous Metal
002161,电子,Electronics
002162,建筑材料,Construction Materials
002163,建筑材料,Construction Materials
002164,机械设备,Machinery Equipment
002165,化工,Chemicals
002166,医药生物,Health Care
002167,有色金属,Nonferrous Metal
002168,传媒,Media
002169,电气设备,Electrical Equipment
002170,化工,Chemicals
002171,有色金属,Nonferrous Metal
002172,化工,Chemicals
002173,医药生物,Health Care
002174,传媒,Media
002175,传媒,Media
002176,电气设备,Electrical Equipment
002177,计算机,Computer
002178,建筑装饰,Construction Decoration
002179,国防军工,Military
002180,计算机,Computer
002181,传媒,Media
002182,有色金属,Nonferrous Metal
002183,交通运输,Transportation
002184,电气设备,Electrical Equipment
002185,电子,Electronics
002186,休闲服务,Leisure Services
002187,商业贸易,Commerce
002188,传媒,Media
002189,电子,Electronics
002190,国防军工,Military
002191,轻工制造,Light-industry Manufacturing
002192,机械设备,Machinery Equipment
002193,纺织服装,Textile and Apparel
002194,通信,Telecommunication
002195,计算机,Computer
002196,电气设备,Electrical Equipment
002197,计算机,Computer
002198,医药生物,Health Care
002199,电子,Electronics
002200,建筑装饰,Construction Decoration
002201,化工,Chemicals
002202,电气设备,Electrical Equipment
002203,有色金属,Nonferrous Metal
002204,机械设备,Machinery Equipment
002205,公用事业,Utilities
002206,化工,Chemicals
002207,采掘,Mining
002208,房地产,Real Estate
002209,机械设备,Machinery Equipment
002210,交通运输,Transportation
002211,化工,Chemicals
002212,计算机,Computer
002213,汽车,Automobile
002214,电子,Electronics
002215,化工,Chemicals
002216,食品饮料,Food and Beverage
002217,电子,Electronics
002218,电气设备,Electrical Equipment
002219,医药生物,Health Care
002221,化工,Chemicals
002222,电子,Electronics
002223,医药生物,Health Care
002224,化工,Chemicals
002225,建筑材料,Construction Materials
002226,化工,Chemicals
002227,电气设备,Electrical Equipment
002228,轻工制造,Light-industry Manufacturing
002229,轻工制造,Light-industry Manufacturing
002230,计算机,Computer
002231,通信,Telecommunication
002232,计算机,Computer
002233,建筑材料,Construction Materials
002234,农林牧渔,Agriculture
002235,轻工制造,Light-industry Manufacturing
002236,电子,Electronics
002237,有色金属,Nonferrous Metal
002238,传媒,Media
002239,汽车,Automobile
002240,轻工制造,Light-industry Manufacturing
002241,电子,Electronics
002242,家用电器,Household Appliances
002243,轻工制造,Light-industry Manufacturing
002244,房地产,Real Estate
002245,交通运输,Transportation
002246,化工,Chemicals
002247,传媒,Media
002248,机械设备,Machinery Equipment
002249,电气设备,Electrical Equipment
002250,化工,Chemicals
002251,商业贸易,Commerce
002252,医药生物,Health Care
002253,计算机,Computer
002254,化工,Chemicals
002255,电气设备,Electrical Equipment
002256,公用事业,Utilities
002258,化工,Chemicals
002259,公用事业,Utilities
002260,家用电器,Household Appliances
002261,传媒,Media
002262,医药生物,Health Care
002263,化工,Chemicals
002264,商业贸易,Commerce
002265,汽车,Automobile
002266,公用事业,Utilities
002267,公用事业,Utilities
002268,计算机,Computer
002269,纺织服装,Textile and Apparel
002270,电气设备,Electrical Equipment
002271,建筑材料,Construction Materials
002272,机械设备,Machinery Equipment
002273,电子,Electronics
002274,化工,Chemicals
002275,医药生物,Health Care
002276,电气设备,Electrical Equipment
002277,商业贸易,Commerce
002278,机械设备,Machinery Equipment
002279,计算机,Computer
002280,计算机,Computer
002281,通信,Telecommunication
002282,机械设备,Machinery Equipment
002283,汽车,Automobile
002284,汽车,Automobile
002285,房地产,Real Estate
002286,农林牧渔,Agriculture
002287,医药生物,Health Care
002288,电子,Electronics
002289,电子,Electronics
002290,家用电器,Household Appliances
002291,纺织服装,Textile and Apparel
002292,传媒,Media
002293,纺织服装,Textile and Apparel
002294,医药生物,Health Care
002295,有色金属,Nonferrous Metal
002296,计算机,Computer
002297,国防军工,Military
002298,建筑装饰,Construction Decoration
002299,农林牧渔,Agriculture
002300,电气设备,Electrical Equipment
002301,轻工制造,Light-industry Manufacturing
002302,建筑材料,Construction Materials
002303,轻工制造,Light-industry Manufacturing
002304,食品饮料,Food and Beverage
002305,房地产,Real Estate
002306,休闲服务,Leisure Services
002307,建筑装饰,Construction Decoration
002308,计算机,Computer
002309,电气设备,Electrical Equipment
002310,建筑装饰,Construction Decoration
002311,农林牧渔,Agriculture
002312,计算机,Computer
002313,通信,Telecommunication
002314,房地产,Real Estate
002315,传媒,Media
002316,计算机,Computer
002317,医药生物,Health Care
002318,钢铁,Steel
002319,化工,Chemicals
002320,交通运输,Transportation
002321,农林牧渔,Agriculture
002322,电气设备,Electrical Equipment
