,jq_l1_industry_code,jq_l1_industry_name,jq_l2_industry_code,jq_l2_industry_name,sw_l1_industry_code,sw_l1_industry_name,sw_l2_industry_code,sw_l2_industry_name,sw_l2_industry_code,sw_l2_industry_name,zjw_industry_code,zjw_industry_name
000046.XSHE,HY011,房地产指数,HY509,房地产开发指数,801790,非银金融I,801191,多元金融II,851921,多元金融III,J69,其他金融业
000048.XSHE,HY005,日常消费指数,HY480,农产品指数,801010,农林牧渔I,801014,饲料II,850141,饲料III,C13,农副食品加工业
000049.XSHE,HY003,工业指数,HY423,电气部件与设备指数,801080,电子I,801085,电子制造II,850851,电子系统组装III,C38,电气机械和器材制造业
000050.XSHE,HY008,信息技术指数,HY519,电子元件指数,801080,电子I,801084,光学光电子II,850831,显示器件III,C39,计算机、通信和其他电子设备制造业
000055.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801724,专业工程II,857244,其他专业工程III,C33,金属制品业
000056.XSHE,HY011,房地产指数,HY588,综合支持服务指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,L72,商务服务业
000058.XSHE,HY011,房地产指数,HY593,房地产经营公司指数,801200,商业贸易I,801205,商业物业经营II,852052,专业市场III,L72,商务服务业
000059.XSHE,HY001,能源指数,HY404,石油与天然气的炼制和销售指数,801030,化工I,801035,石油化工II,850311,石油加工III,C25,石油加工、炼焦和核燃料加工业
000060.XSHE,HY002,材料指数,HY414,金属非金属指数,801050,有色金属I,801055,工业金属II,850553,铅锌III,C32,有色金属冶炼和压延加工业
000061.XSHE,HY005,日常消费指数,HY474,食品分销商指数,801200,商业贸易I,801205,商业物业经营II,852052,专业市场III,L72,商务服务业
000062.XSHE,HY011,房地产指数,HY521,技术产品经销商指数,801080,电子I,801082,其他电子II,850841,其他电子III,F51,批发业
000063.XSHE,HY008,信息技术指数,HY516,通信设备指数,801770,通信I,801102,通信设备II,851013,通信传输设备III,C39,计算机、通信和其他电子设备制造业
000065.XSHE,HY003,工业指数,HY422,建筑与工程指数,801720,建筑装饰I,801724,专业工程II,857243,国际工程承包III,E48,土木工程建筑业
000066.XSHE,HY008,信息技术指数,HY517,电脑硬件指数,801750,计算机I,801101,计算机设备II,851021,计算机设备III,C39,计算机、通信和其他电子设备制造业
000068.XSHE,HY003,工业指数,HY432,环境与设施服务指数,801160,公用事业I,801162,环保工程及服务II,851641,环保工程及服务III,M74,专业技术服务业
000069.XSHE,HY004,可选消费指数,HY457,酒店、度假村与豪华游轮指数,801180,房地产I,801181,房地产开发II,851811,房地产开发III,K70,房地产业
000070.XSHE,HY008,信息技术指数,HY516,通信设备指数,801770,通信I,801102,通信设备II,851013,通信传输设备III,C38,电气机械和器材制造业
000078.XSHE,HY006,医疗保健指数,HY487,保健护理产品经销商指数,801150,医药生物I,801154,医药商业II,851541,医药商业III,F52,零售业
000088.XSHE,HY003,工业指数,HY441,海港与服务指数,801170,交通运输I,801171,港口II,851711,港口III,G54,道路运输业
000089.XSHE,HY003,工业指数,HY439,机场服务指数,801170,交通运输I,801174,机场II,851751,机场III,G56,航空运输业
