KYTREASNOX,TIDXFAM,TTERMTYPE,TTERMLBL,MCALDT,RMTREASNO,RMCRSPID,TMBIDYTM,TMASKYTM,TMYTM,TMDURATN
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/7/31,203256,20010830.4,3.65E+00,3.64E+00,3.64E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/8/31,203265,20011004.4,3.38E+00,3.37E+00,3.37E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/9/28,203271,20011101.4,2.38E+00,2.37E+00,2.38E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/10/31,203279,20011206.4,2.10E+00,2.09E+00,2.09E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/11/30,203284,20020103.4,1.73E+00,1.72E+00,1.73E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2001/12/31,203290,20020131.4,1.64E+00,1.63E+00,1.64E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/1/31,203298,20020307.4,1.69E+00,1.68E+00,1.69E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/2/28,203304,20020404.4,1.74E+00,1.73E+00,1.73E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/3/28,203313,20020502.4,1.71E+00,1.70E+00,1.71E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/4/30,203319,20020530.4,1.76E+00,1.75E+00,1.75E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/5/31,203330,20020705.4,1.69E+00,1.68E+00,1.69E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/6/28,203336,20020801.4,1.67E+00,1.66E+00,1.67E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/7/31,203344,20020905.4,1.70E+00,1.69E+00,1.70E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/8/30,203351,20021003.4,1.66E+00,1.65E+00,1.66E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/9/30,203356,20021031.4,1.58E+00,1.56E+00,1.57E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/10/31,203364,20021205.4,1.43E+00,1.42E+00,1.42E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/11/29,203371,20030102.4,1.22E+00,1.21E+00,1.22E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2002/12/31,203375,20030130.4,1.14E+00,1.13E+00,1.14E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/1/31,203386,20030306.4,1.15E+00,1.14E+00,1.15E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/2/28,203393,20030403.4,1.20E+00,1.19E+00,1.19E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/3/31,203400,20030501.4,1.15E+00,1.14E+00,1.14E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/4/30,203410,20030605.4,1.10E+00,1.09E+00,1.09E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/5/30,203417,20030703.4,1.13E+00,1.12E+00,1.12E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/6/30,203422,20030731.4,7.99E-01,7.89E-01,7.94E-01,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/7/31,203431,20030904.4,8.85E-01,8.75E-01,8.80E-01,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/8/29,203437,20031002.4,9.76E-01,9.66E-01,9.71E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/9/30,203442,20031030.4,8.57E-01,8.47E-01,8.52E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/10/31,203451,20031204.4,9.20E-01,9.10E-01,9.15E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/11/28,203457,20040102.4,9.05E-01,8.95E-01,9.00E-01,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2003/12/31,203463,20040205.4,8.32E-01,8.22E-01,8.27E-01,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/1/30,203470,20040304.4,8.32E-01,8.22E-01,8.27E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/2/27,203476,20040401.4,9.38E-01,9.28E-01,9.33E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/3/31,203484,20040506.4,9.28E-01,9.18E-01,9.23E-01,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/4/30,203492,20040603.4,8.14E-01,8.04E-01,8.09E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/5/28,203500,20040701.4,9.13E-01,9.03E-01,9.08E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/6/30,203506,20040805.4,1.13E+00,1.12E+00,1.13E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/7/30,203514,20040902.4,1.28E+00,1.27E+00,1.28E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/8/31,203520,20040930.4,1.45E+00,1.44E+00,1.44E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/9/30,203527,20041104.4,1.46E+00,1.45E+00,1.46E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/10/29,203536,20041202.4,1.75E+00,1.74E+00,1.75E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/11/30,203541,20041230.4,2.04E+00,2.03E+00,2.03E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2004/12/31,203549,20050203.4,1.91E+00,1.90E+00,1.91E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/1/31,203556,20050303.4,2.17E+00,2.16E+00,2.16E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/2/28,203562,20050331.4,2.50E+00,2.49E+00,2.50E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/3/31,203570,20050505.4,2.60E+00,2.59E+00,2.60E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/4/29,203579,20050602.4,2.72E+00,2.71E+00,2.71E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/5/31,203585,20050630.4,2.76E+00,2.75E+00,2.75E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/6/30,203592,20050804.4,2.99E+00,2.98E+00,2.99E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/7/29,203599,20050901.4,3.23E+00,3.22E+00,3.23E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/8/31,203606,20051006.4,3.35E+00,3.34E+00,3.34E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/9/30,203612,20051103.4,3.19E+00,3.18E+00,3.19E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/10/31,203619,20051201.4,3.70E+00,3.69E+00,3.70E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/11/30,203623,20051229.4,3.98E+00,3.97E+00,3.97E+00,29
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2005/12/30,203631,20060202.4,3.95E+00,3.94E+00,3.95E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/1/31,203638,20060302.4,4.33E+00,4.32E+00,4.33E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/2/28,203644,20060330.4,4.43E+00,4.42E+00,4.42E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/3/31,203652,20060504.4,4.60E+00,4.59E+00,4.59E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/4/28,203660,20060601.4,4.62E+00,4.61E+00,4.61E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/5/31,203666,20060706.4,4.70E+00,4.69E+00,4.70E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/6/30,203672,20060803.4,4.69E+00,4.68E+00,4.68E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/7/31,203678,20060831.4,5.04E+00,5.03E+00,5.03E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/8/31,203685,20061005.4,4.97E+00,4.96E+00,4.96E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/9/29,203691,20061102.4,4.65E+00,4.64E+00,4.65E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/10/31,203698,20061130.4,5.16E+00,5.15E+00,5.15E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/11/30,203705,20070104.4,4.99E+00,4.97E+00,4.98E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2006/12/29,203710,20070201.4,4.77E+00,4.76E+00,4.77E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/1/31,203719,20070308.4,5.01E+00,5.00E+00,5.00E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/2/28,203724,20070405.4,5.15E+00,5.14E+00,5.14E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/3/30,203732,20070503.4,5.06E+00,5.05E+00,5.05E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/4/30,203740,20070531.4,4.76E+00,4.75E+00,4.75E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/5/31,203747,20070705.4,4.70E+00,4.69E+00,4.69E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/6/29,203752,20070802.4,4.54E+00,4.53E+00,4.53E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/7/31,203759,20070830.4,5.11E+00,5.10E+00,5.11E+00,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/8/31,203767,20071004.4,4.16E+00,4.15E+00,4.15E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/9/28,203772,20071101.4,3.45E+00,3.44E+00,3.44E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/10/31,203780,20071206.4,3.99E+00,3.98E+00,3.98E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/11/30,203786,20080103.4,3.22E+00,3.21E+00,3.22E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2007/12/31,203791,20080131.4,2.86E+00,2.85E+00,2.86E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/1/31,203800,20080306.4,1.67E+00,1.66E+00,1.66E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/2/29,203806,20080403.4,2.08E+00,2.07E+00,2.07E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/3/31,203815,20080501.4,1.24E+00,1.23E+00,1.24E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/4/30,203824,20080605.4,1.26E+00,1.25E+00,1.26E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/5/30,203830,20080703.4,1.95E+00,1.94E+00,1.95E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/6/30,203835,20080731.4,1.70E+00,1.69E+00,1.69E+00,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/7/31,203844,20080904.4,1.59E+00,1.58E+00,1.58E+00,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/8/29,203851,20081002.4,1.67E+00,1.66E+00,1.66E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/9/30,203856,20081030.4,9.69E-01,9.59E-01,9.64E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/10/31,203867,20081204.4,2.59E-01,2.48E-01,2.54E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/11/28,203873,20090102.4,3.55E-02,2.53E-02,3.04E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2008/12/31,203880,20090205.4,3.55E-02,2.53E-02,3.04E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/1/30,203887,20090305.4,1.83E-01,1.72E-01,1.77E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/2/27,203893,20090402.4,1.83E-01,1.62E-01,1.72E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/3/31,203900,20090430.4,1.62E-01,1.42E-01,1.52E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/4/30,203911,20090604.4,4.06E-02,3.04E-02,3.55E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/5/29,203918,20090702.4,9.63E-02,6.59E-02,8.11E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/6/30,203923,20090730.4,1.57E-01,1.32E-01,1.44E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/7/31,205998,20090903.4,1.42E-01,1.17E-01,1.29E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/8/31,206001,20091001.4,1.06E-01,8.11E-02,9.38E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/9/30,206005,20091105.4,5.58E-02,3.04E-02,4.31E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/10/30,206008,20091203.4,1.52E-02,5.07E-03,1.01E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/11/30,206011,20091231.4,8.62E-02,6.08E-02,7.35E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2009/12/31,206015,20100204.4,5.07E-02,2.53E-02,3.80E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/1/29,206018,20100304.4,2.53E-02,5.07E-03,1.52E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/2/26,206020,20100401.4,8.62E-02,6.08E-02,7.35E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/3/31,206022,20100506.4,1.37E-01,1.32E-01,1.34E-01,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/4/30,206023,20100603.4,1.47E-01,1.37E-01,1.42E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/5/28,206026,20100701.4,1.42E-01,1.32E-01,1.37E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/6/30,206097,20100805.4,1.67E-01,1.57E-01,1.62E-01,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/7/30,206105,20100902.4,1.52E-01,1.32E-01,1.42E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/8/31,206117,20100930.4,1.62E-01,1.42E-01,1.52E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/9/30,206126,20101104.4,1.47E-01,1.22E-01,1.34E-01,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/10/29,206135,20101202.4,1.37E-01,1.17E-01,1.27E-01,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/11/30,206146,20101230.4,1.83E-01,1.57E-01,1.70E-01,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2010/12/31,206155,20110203.4,8.62E-02,7.60E-02,8.11E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/1/31,206163,20110303.4,1.62E-01,1.37E-01,1.50E-01,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/2/28,206173,20110331.4,9.13E-02,6.59E-02,7.86E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/3/31,206128,20110505.4,7.10E-02,4.56E-02,5.83E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/4/29,206136,20110602.4,2.53E-02,5.07E-03,1.52E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/5/31,206147,20110630.4,5.07E-02,3.55E-02,4.31E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/6/30,206209,20110804.4,1.01E-02,5.07E-03,7.60E-03,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/7/29,206219,20110901.4,1.01E-01,7.60E-02,8.87E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/8/31,206230,20111006.4,1.01E-02,-1.01E-02,0.00E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/9/30,206239,20111103.4,2.53E-02,5.07E-03,1.52E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/10/31,206247,20111201.4,1.52E-02,-5.07E-03,5.07E-03,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/11/30,206259,20120105.4,1.01E-02,-1.01E-02,0.00E+00,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2011/12/30,206268,20120202.4,1.01E-02,-1.01E-02,0.00E+00,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/1/31,206279,20120301.4,5.07E-02,2.53E-02,3.80E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/2/29,206232,20120405.4,6.59E-02,4.06E-02,5.32E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/3/30,206240,20120503.4,4.06E-02,3.04E-02,3.55E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/4/30,206248,20120531.4,8.11E-02,7.10E-02,7.60E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/5/31,206317,20120705.4,3.55E-02,2.03E-02,2.79E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/6/29,206325,20120802.4,4.06E-02,3.04E-02,3.55E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/7/31,206333,20120830.4,6.59E-02,5.58E-02,6.08E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/8/31,206345,20121004.4,8.11E-02,7.60E-02,7.86E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/9/28,206354,20121101.4,4.56E-02,3.55E-02,4.06E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/10/31,206364,20121206.4,1.01E-01,8.62E-02,9.38E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/11/30,206551,20121231.4,1.27E-01,1.17E-01,1.22E-01,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2012/12/31,206438,20130131.4,3.04E-02,2.03E-02,2.53E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/1/31,206346,20130307.4,8.11E-02,4.06E-02,6.08E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/2/28,206347,20130404.4,5.07E-02,4.56E-02,4.82E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/3/28,206355,20130502.4,5.07E-02,3.04E-02,4.06E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/4/30,206365,20130530.4,2.03E-02,1.01E-02,1.52E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/5/31,206566,20130705.4,2.03E-02,1.01E-02,1.52E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/6/28,206574,20130801.4,1.52E-02,5.07E-03,1.01E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/7/31,206585,20130905.4,1.52E-02,5.07E-03,1.01E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/8/30,206597,20131003.4,1.52E-02,5.07E-03,1.01E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/9/30,206605,20131031.4,2.53E-02,1.52E-02,2.03E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/10/31,206617,20131205.4,4.06E-02,3.04E-02,3.55E-02,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/11/29,206627,20140102.4,3.04E-02,2.03E-02,2.53E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2013/12/31,206635,20140130.4,2.03E-02,1.01E-02,1.52E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/1/31,206586,20140306.4,5.58E-02,4.56E-02,5.07E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/2/28,206598,20140403.4,3.55E-02,2.53E-02,3.04E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/3/31,206606,20140501.4,2.03E-02,1.52E-02,1.77E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/4/30,206675,20140605.4,1.52E-02,5.07E-03,1.01E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/5/30,206685,20140703.4,3.04E-02,1.52E-02,2.28E-02,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/6/30,206693,20140731.4,2.03E-02,1.01E-02,1.52E-02,31
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/7/31,206704,20140904.4,1.01E-02,0.00E+00,5.07E-03,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/8/29,206715,20141002.4,1.01E-02,0.00E+00,5.07E-03,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/9/30,206723,20141030.4,2.03E-02,1.01E-02,1.52E-02,30
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/10/31,206736,20141204.4,7.60E-03,-2.53E-03,2.53E-03,34
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/11/28,206745,20150102.4,1.01E-02,0.00E+00,5.07E-03,35
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2014/12/31,206696,20150205.4,1.52E-02,5.07E-03,1.01E-02,36
2000001,RISKFREE,30,CRSP Risk Free Rates - 1-Month (Nominal),2015/1/30,206705,20150305.4,-1.52E-02,-2.53E-02,-2.03E-02,34
